"Â ","Industrie (megaton CO2-equivalent)","Elektriciteit (megaton CO2-equivalent)","Mobiliteit (megaton CO2-equivalent)","Gebouwde omgeving (megaton CO2-equivalent)","Landbouw (megaton CO2-equivalent)","Landgebruik (megaton CO2-equivalent)"
"1990","87,0","39,6","33,3","30,1","32,6","6,2"
"1991","88,4","40,1","33,7","34,4","34,0","6,3"
"1992","89,6","40,6","35,2","31,7","33,8","6,3"
"1993","85,9","41,9","36,1","33,6","33,8","6,3"
"1994","86,8","45,7","35,6","31,4","32,3","6,3"
"1995","82,0","47,8","36,3","33,5","32,3","6,1"
"1996","84,6","48,3","37,6","38,9","32,9","6,0"
"1997","84,2","48,5","37,5","33,1","30,7","5,9"
"1998","84,2","50,2","38,2","31,6","29,8","5,9"
"1999","76,3","47,2","39,1","30,0","29,1","5,8"
"2000","74,6","48,4","39,0","30,0","28,1","5,7"
"2001","70,7","51,9","39,2","31,8","27,4","5,8"
"2002","69,8","53,0","39,6","30,6","25,7","5,7"
"2003","68,6","53,7","40,0","31,7","25,4","6,0"
"2004","68,7","54,9","40,4","31,4","25,4","5,9"
"2005","66,9","52,1","40,8","29,7","25,6","5,8"
"2006","65,4","47,9","41,6","29,8","25,3","5,8"
"2007","64,7","50,6","40,5","26,7","25,9","5,4"
"2008","60,8","50,0","40,7","29,8","27,1","5,4"
"2009","56,8","49,9","39,1","29,8","27,1","5,3"
"2010","59,7","52,0","39,8","34,4","28,8","5,1"
"2011","58,5","47,8","39,7","27,0","27,3","5,7"
"2012","57,2","44,8","37,8","29,2","27,0","6,0"
"2013","56,7","44,9","36,4","30,4","27,3","5,5"
"2014","55,5","48,6","34,0","23,3","26,0","5,4"
"2015","55,4","53,1","34,1","24,8","27,1","5,4"
"2016","56,1","52,0","34,2","25,6","27,2","5,1"
"2017","56,9","48,3","34,8","25,0","27,4","4,1"
"2018","55,9","44,6","35,0","24,7","27,1","4,2"
"2019","55,0","41,5","34,3","23,6","26,9","4,2"
"2020","53,7","32,5","29,9","22,1","26,5","4,1"
"2021","54,0","32,4","29,8","24,8","26,6","4,3"
"2022","49,8","30,7","29,6","20,1","23,9","4,4"
"Bron: CBS, RIVM/Emissieregistratie"